#Acc_x;Acc_z;Elongation Droit;Elongation gauche;Gyro_x;Gyro_z;PressionPiedDArriereD;PressionPiedDArriereG;PressionPiedDAvantD;PressionPiedDAvantG;PressionPiedGArriereD;PressionPiedGArriereG;PressionPiedGAvantD;PressionPiedGAvantG
1493;1513;551;799;1788;1804;3036;2373;73;2113;3045;2492;1039;2834
1495;1515;553;799;1790;1806;3035;2329;71;2117;3045;2501;1039;2841
1496;1519;552;799;1790;1807;3035;2273;71;2109;3045;2501;1040;2846
1497;1513;553;799;1791;1807;3036;2130;72;2116;3045;2489;1040;2844
1496;1512;552;799;1788;1803;3036;1837;69;2113;3044;2470;1040;2852
1499;1520;553;800;1790;1808;3037;1711;69;2130;3044;2414;1041;2854
1507;1520;552;798;1790;1802;3039;1507;73;2141;3043;2378;1041;2852
1505;1519;552;799;1792;1807;3038;1418;73;2133;3042;2354;1042;2854
1505;1519;552;799;1792;1807;3038;1418;73;2133;3042;2354;1042;2854
1506;1520;553;798;1791;1807;3038;1311;71;2133;3044;2345;1042;2856
1502;1518;553;797;1793;1807;3035;1408;73;2135;3044;2347;1041;2857
1505;1519;553;799;1790;1807;3037;1526;69;2144;3043;2372;1042;2857
1498;1513;553;799;1791;1806;3036;1758;71;2148;3043;2387;1041;2854
1501;1512;554;800;1791;1806;3037;1872;73;2142;3043;2439;1041;2851
1501;1517;553;799;1793;1803;3038;2139;73;2134;3043;2460;1041;2848
1497;1516;554;799;1792;1804;3037;2190;72;2126;3043;2486;1039;2846
1494;1516;553;799;1793;1804;3037;2270;71;2129;3044;2491;1040;2843
1499;1512;553;799;1789;1801;3036;2282;71;2134;3044;2508;1040;2838
1494;1520;553;800;1789;1805;3037;2272;72;2131;3042;2510;1039;2839
1497;1518;554;798;1783;1803;3037;2251;71;2127;3044;2511;1040;2845
1499;1518;554;798;1789;1802;3036;2164;73;2131;3044;2510;1039;2843
1499;1518;554;798;1789;1802;3036;2164;73;2131;3044;2510;1039;2843
1501;1518;553;799;1784;1803;3038;1925;69;2167;3041;2461;1041;2853
1500;1516;553;798;1786;1801;3037;1848;73;2169;3044;2430;1041;2856
1502;1518;553;797;1790;1800;3037;1778;74;2170;3044;2419;1041;2858
1503;1518;553;795;1787;1802;3037;1747;71;2168;3044;2401;1042;2858
1505;1518;553;798;1789;1805;3037;1779;71;2159;3043;2403;1042;2856
1503;1516;553;795;1788;1804;3035;1815;71;2159;3044;2398;1042;2857
1505;1519;553;793;1789;1802;3037;1843;69;2166;3043;2405;1042;2855
1500;1516;554;795;1792;1803;3037;1836;73;2158;3043;2415;1041;2851
1502;1519;553;798;1791;1800;3037;1768;71;2168;3043;2434;1041;2852
1498;1517;553;798;1791;1802;3038;1888;72;2171;3045;2450;1041;2850
1498;1517;553;798;1789;1801;3038;2123;75;2173;3044;2458;1041;2851
1501;1513;553;798;1791;1799;3038;2164;71;2162;3044;2496;1041;2852
1497;1516;553;798;1791;1802;3037;2222;72;2166;3045;2514;1040;2847
1497;1514;552;798;1791;1805;3033;2256;69;2169;3042;2520;1040;2843
1498;1511;553;797;1795;1809;3034;2227;68;2167;3040;2514;1040;2842
1496;1514;552;797;1799;1807;3033;2179;72;2164;3039;2516;1040;2842
1496;1515;551;798;1792;1807;3035;2158;72;2162;3039;2502;1041;2845
1500;1516;552;798;1789;1809;3034;2005;73;2152;3040;2468;1041;2845
1501;1512;553;798;1793;1807;3033;1948;71;2155;3040;2438;1041;2849
1500;1516;552;798;1793;1810;3031;1934;69;2156;3040;2438;1041;2855
1502;1514;553;798;1791;1805;3034;2099;70;2151;3040;2426;1041;2855
1504;1512;552;798;1794;1807;3034;2118;72;2145;3040;2427;1042;2856
1502;1513;552;798;1791;1807;3034;2116;73;2141;3041;2423;1041;2857
1500;1519;552;798;1793;1807;3035;2121;71;2131;3041;2428;1041;2856
1500;1516;551;798;1792;1804;3034;2024;73;2133;3041;2434;1041;2852
1498;1514;552;797;1794;1808;3034;1858;73;2135;3041;2440;1040;2853
1498;1514;552;798;1794;1808;3034;1858;71;2140;3041;2440;1041;2853
1498;1512;552;800;1795;1810;3034;2122;71;2146;3043;2457;1040;2848
1498;1515;552;799;1792;1807;3035;2179;71;2137;3043;2479;1041;2850
1498;1515;552;799;1792;1807;3035;2179;71;2137;3043;2479;1041;2850
1495;1515;553;799;1791;1806;3035;2225;71;2136;3044;2479;1041;2849
1499;1516;553;798;1791;1808;3035;2271;74;2131;3044;2495;1040;2850
1497;1515;553;798;1792;1808;3037;2286;70;2134;3040;2515;1041;2851
1493;1513;553;799;1794;1805;3037;2258;74;2126;3043;2520;1041;2852
1497;1516;552;799;1790;1803;3038;2179;69;2123;3042;2491;1041;2849
1500;1516;552;799;1793;1803;3037;2138;72;2125;3043;2505;1040;2851
1499;1515;552;799;1792;1807;3037;2081;71;2123;3042;2454;1041;2852
1495;1513;553;799;1790;1805;3037;2087;74;2130;3042;2457;1041;2857
1497;1517;553;798;1789;1806;3036;2131;70;2134;3041;2438;1041;2855
1503;1514;553;799;1790;1804;3035;2135;69;2130;3042;2435;1041;2854
1499;1517;553;800;1793;1808;3036;2151;71;2124;3042;2433;1041;2854
1502;1518;553;799;1789;1804;3035;2155;72;2130;3042;2437;1041;2857
1498;1516;553;799;1790;1806;3036;2148;72;2130;3042;2448;1041;2856
1501;1520;553;799;1792;1806;3035;2043;71;2136;3042;2457;1041;2856
1497;1515;553;799;1792;1806;3035;1939;71;2137;3042;2473;1040;2855
1495;1513;553;798;1792;1806;3036;2101;71;2141;3043;2454;1041;2852
1497;1517;553;799;1794;1804;3034;2142;71;2138;3041;2480;1041;2849
1501;1516;554;798;1788;1802;3036;2192;72;2134;3041;2483;1040;2849
1498;1516;552;797;1789;1805;3036;2241;72;2130;3043;2492;1041;2847
1498;1513;552;796;1789;1802;3037;2242;71;2132;3042;2492;1040;2849
1498;1513;552;796;1789;1802;3037;2242;71;2132;3042;2492;1040;2849
1498;1514;552;795;1789;1802;3036;2203;70;2139;3042;2484;1041;2848
1500;1513;553;795;1788;1806;3036;2147;70;2143;3042;2484;1040;2855
1497;1517;553;795;1789;1801;3036;2152;74;2142;3042;2503;1041;2857
1502;1515;552;793;1788;1802;3037;2054;71;2145;3041;2461;1041;2854
1499;1516;553;798;1788;1803;3037;1972;72;2138;3043;2464;1041;2856
1501;1516;552;796;1789;1806;3036;2067;73;2143;3043;2451;1041;2857
1500;1517;553;796;1790;1803;3036;2087;70;2142;3043;2446;1041;2857
